threshold,detection,false_alarm,lead
0.05,1.0,1.0,103.03125
0.0619620253164557,1.0,1.0,102.0
0.0739240506329114,1.0,1.0,99.515625
0.08588607594936709,1.0,1.0,98.4375
0.09784810126582279,1.0,0.9924812030075187,97.03125
0.10981012658227848,1.0,0.9924812030075187,94.34375
0.12177215189873418,1.0,0.9849624060150376,93.25
0.13373417721518988,1.0,0.9774436090225563,91.9375
0.14569620253164556,1.0,0.9774436090225563,91.015625
0.15765822784810127,1.0,0.9699248120300752,89.640625
0.16962025316455698,1.0,0.9548872180451128,87.890625
0.18158227848101266,1.0,0.9398496240601504,86.859375
0.19354430379746834,1.0,0.9172932330827067,84.90625
0.20550632911392402,1.0,0.9022556390977443,83.53125
0.21746835443037976,1.0,0.8796992481203008,83.125
0.22943037974683544,1.0,0.849624060150376,81.40625
0.24139240506329113,1.0,0.8270676691729323,79.625
0.2533544303797468,1.0,0.8120300751879699,77.046875
0.26531645569620255,1.0,0.7969924812030075,76.203125
0.27727848101265823,1.0,0.7969924812030075,75.734375
0.2892405063291139,1.0,0.7969924812030075,74.21875
0.3012025316455696,1.0,0.7744360902255639,71.921875
0.31316455696202533,1.0,0.7669172932330827,69.9375
0.325126582278481,1.0,0.7368421052631579,68.609375
0.3370886075949367,1.0,0.706766917293233,68.140625
0.3490506329113924,1.0,0.6842105263157895,67.515625
0.36101265822784806,1.0,0.6691729323308271,67.21875
0.3729746835443038,1.0,0.6541353383458647,67.171875
0.3849367088607595,1.0,0.6466165413533834,66.53125
0.39689873417721516,1.0,0.6390977443609023,66.34375
0.4088607594936709,1.0,0.6165413533834586,66.328125
0.4208227848101266,1.0,0.6090225563909775,66.328125
0.43278481012658226,1.0,0.6015037593984962,64.6875
0.44474683544303795,1.0,0.5639097744360902,64.609375
0.45670886075949363,1.0,0.556390977443609,64.59375
0.46867088607594937,1.0,0.556390977443609,63.6875
0.48063291139240505,1.0,0.5338345864661654,63.625
0.49259493670886073,1.0,0.5037593984962406,63.59375
0.5045569620253165,1.0,0.48872180451127817,63.21875
0.5165189873417722,1.0,0.48120300751879697,63.125
0.5284810126582279,1.0,0.47368421052631576,63.078125
0.5404430379746835,1.0,0.46616541353383456,62.484375
0.5524050632911393,1.0,0.45864661654135336,61.765625
0.564367088607595,1.0,0.45112781954887216,61.625
0.5763291139240507,1.0,0.45112781954887216,61.421875
0.5882911392405064,1.0,0.45112781954887216,61.171875
0.6002531645569621,1.0,0.42857142857142855,60.859375
0.6122151898734177,1.0,0.42857142857142855,60.765625
0.6241772151898735,1.0,0.40601503759398494,60.40625
0.6361392405063292,1.0,0.40601503759398494,60.171875
0.6481012658227848,1.0,0.40601503759398494,59.984375
0.6600632911392406,1.0,0.39849624060150374,59.734375
0.6720253164556962,1.0,0.39097744360902253,59.609375
0.6839873417721519,1.0,0.39097744360902253,59.46875
0.6959493670886077,1.0,0.39097744360902253,59.140625
0.7079113924050633,1.0,0.39097744360902253,58.515625
0.719873417721519,1.0,0.38345864661654133,57.75
0.7318354430379748,1.0,0.38345864661654133,57.1875
0.7437974683544304,1.0,0.38345864661654133,56.390625
0.7557594936708861,1.0,0.38345864661654133,55.921875
0.7677215189873419,1.0,0.38345864661654133,54.703125
0.7796835443037975,1.0,0.38345864661654133,53.515625
0.7916455696202532,1.0,0.38345864661654133,52.046875
0.8036075949367089,1.0,0.38345864661654133,51.125
0.8155696202531646,1.0,0.37593984962406013,50.484375
0.8275316455696203,1.0,0.3609022556390977,48.984375
0.839493670886076,1.0,0.3458646616541353,47.6875
0.8514556962025317,1.0,0.3383458646616541,46.0
0.8634177215189873,1.0,0.3082706766917293,42.546875
0.8753797468354431,1.0,0.2781954887218045,38.46875
0.8873417721518988,1.0,0.2631578947368421,33.953125
0.8993037974683544,0.984375,0.21804511278195488,29.095238095238095
0.9112658227848102,0.984375,0.18045112781954886,24.063492063492063
0.9232278481012659,0.984375,0.15789473684210525,18.936507936507937
0.9351898734177215,0.984375,0.14285714285714285,14.428571428571429
0.9471518987341773,0.984375,0.10526315789473684,12.666666666666666
0.959113924050633,0.984375,0.06015037593984962,11.714285714285714
0.9710759493670886,0.890625,0.03007518796992481,10.263157894736842
0.9830379746835444,0.8125,0.007518796992481203,7.4423076923076925
0.995,0.0625,0.0,1.5
